Year Month,ANZSOC Division,Police District,vict_sum,vict_cnt
2019-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Auckland City,5,5
2019-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Bay Of Plenty,4,4
2019-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Canterbury,9,7
2019-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Central,1,1
2019-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Counties/Manukau,5,5
2019-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Eastern,3,2
2019-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Southern,2,2
2019-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Waikato,1,1
2019-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Waitemata,5,5
2019-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Wellington,1,1
2019-01-01,Acts Intended to Cause Injury,Auckland City,316,250
2019-01-01,Acts Intended to Cause Injury,Bay Of Plenty,542,429
2019-01-01,Acts Intended to Cause Injury,Canterbury,428,293
2019-01-01,Acts Intended to Cause Injury,Central,444,368
2019-01-01,Acts Intended to Cause Injury,Counties/Manukau,619,515
2019-01-01,Acts Intended to Cause Injury,Eastern,381,277
2019-01-01,Acts Intended to Cause Injury,Northland,175,157
2019-01-01,Acts Intended to Cause Injury,Southern,263,206
2019-01-01,Acts Intended to Cause Injury,Tasman,177,156
2019-01-01,Acts Intended to Cause Injury,Waikato,460,382
2019-01-01,Acts Intended to Cause Injury,Waitemata,325,272
2019-01-01,Acts Intended to Cause Injury,Wellington,481,423
2019-01-01,"Robbery, Extortion and Related Offences",Auckland City,32,29
2019-01-01,"Robbery, Extortion and Related Offences",Bay Of Plenty,20,17
2019-01-01,"Robbery, Extortion and Related Offences",Canterbury,40,32
2019-01-01,"Robbery, Extortion and Related Offences",Central,13,11
2019-01-01,"Robbery, Extortion and Related Offences",Counties/Manukau,58,49
2019-01-01,"Robbery, Extortion and Related Offences",Eastern,13,13
2019-01-01,"Robbery, Extortion and Related Offences",Northland,8,8
2019-01-01,"Robbery, Extortion and Related Offences",Southern,13,12
2019-01-01,"Robbery, Extortion and Related Offences",Tasman,1,1
2019-01-01,"Robbery, Extortion and Related Offences",Waikato,30,28
2019-01-01,"Robbery, Extortion and Related Offences",Waitemata,22,20
2019-01-01,"Robbery, Extortion and Related Offences",Wellington,22,21
2019-01-01,Sexual Assault and Related Offences,Auckland City,42,40
2019-01-01,Sexual Assault and Related Offences,Bay Of Plenty,52,48
2019-01-01,Sexual Assault and Related Offences,Canterbury,67,55
2019-01-01,Sexual Assault and Related Offences,Central,41,33
2019-01-01,Sexual Assault and Related Offences,Counties/Manukau,49,42
2019-01-01,Sexual Assault and Related Offences,Eastern,37,33
2019-01-01,Sexual Assault and Related Offences,Northland,23,23
2019-01-01,Sexual Assault and Related Offences,Southern,43,42
2019-01-01,Sexual Assault and Related Offences,Tasman,30,29
2019-01-01,Sexual Assault and Related Offences,Waikato,42,39
2019-01-01,Sexual Assault and Related Offences,Waitemata,46,42
2019-01-01,Sexual Assault and Related Offences,Wellington,47,42
2019-01-01,Theft and Related Offences,Auckland City,1801,776
2019-01-01,Theft and Related Offences,Bay Of Plenty,1270,724
2019-01-01,Theft and Related Offences,Canterbury,1734,698
2019-01-01,Theft and Related Offences,Central,941,530
2019-01-01,Theft and Related Offences,Counties/Manukau,1567,890
2019-01-01,Theft and Related Offences,Eastern,777,443
2019-01-01,Theft and Related Offences,Northland,580,340
2019-01-01,Theft and Related Offences,Not Specified,2,1
2019-01-01,Theft and Related Offences,Southern,454,340
2019-01-01,Theft and Related Offences,Tasman,274,198
2019-01-01,Theft and Related Offences,Waikato,1119,656
2019-01-01,Theft and Related Offences,Waitemata,1167,641
2019-01-01,Theft and Related Offences,Wellington,1178,631
2019-01-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Auckland City,687,85
2019-01-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Bay Of Plenty,537,101
