,id,ResourceID,GeoUnit,Geo,Period,Duration,Label1,Label2,Label3,Label4,Label5,Label6,Value,Unit,Measure,Multiplier,NullReason,Status
0,608c6918-e40f-4d30-b9e8-a2a44d5d44ac,CPACT10,RC,National,2015-02-28,P1M,,,,,,,16542000,NZD,Amount of rental bonds,0,,
1,03ba9f9c-8578-4c35-b1b9-3c1d6029d5df,CPACT10,RC,National,2015-05-31,P1M,,,,,,,14475000,NZD,Amount of rental bonds,0,,
2,3a494c80-4e80-4ba0-9037-ed29b0b4697e,CPACT10,RC,National,2015-03-31,P1M,,,,,,,15189000,NZD,Amount of rental bonds,0,,
3,1adc8c9e-3021-44ad-8a1c-375cf510c7bb,CPACT10,RC,National,2015-06-30,P1M,,,,,,,13611000,NZD,Amount of rental bonds,0,,
4,fefe676d-cf42-48af-bf7c-797abea92ebe,CPACT10,RC,National,2015-04-30,P1M,,,,,,,13632000,NZD,Amount of rental bonds,0,,
5,4857933b-a22b-4c92-bab8-a0ef3765376d,CPACT10,RC,National,2015-07-31,P1M,,,,,,,14673000,NZD,Amount of rental bonds,0,,
6,8666dcec-efab-429f-a6ee-a479be28fe69,CPACT10,RC,National,2015-09-30,P1M,,,,,,,13419000,NZD,Amount of rental bonds,0,,
7,13385796-ee64-4982-95a3-972dbf94ce3f,CPACT10,RC,National,2015-10-31,P1M,,,,,,,14373000,NZD,Amount of rental bonds,0,,
8,a2b5ebed-c4ee-4404-87c1-1b0863b889ec,CPACT10,RC,National,2015-08-31,P1M,,,,,,,14022000,NZD,Amount of rental bonds,0,,
9,8078242e-2799-4f35-9fad-7d8205efffcd,CPACT10,RC,National,2015-11-30,P1M,,,,,,,13656000,NZD,Amount of rental bonds,0,,
10,d31daadd-ab57-419a-b27d-7dec7b128792,CPACT10,RC,National,2015-12-31,P1M,,,,,,,13161000,NZD,Amount of rental bonds,0,,
11,201e6e78-c03f-4ff0-9532-22f675d39f39,CPACT10,RC,National,2016-01-31,P1M,,,,,,,17205000,NZD,Amount of rental bonds,0,,
12,dd39c6b1-fb73-45ca-bed6-fc784276dada,CPACT10,RC,National,2016-03-31,P1M,,,,,,,15447000,NZD,Amount of rental bonds,0,,
13,2b8799a7-84bb-46ef-b04e-de2ffe5759fb,CPACT10,RC,National,2016-02-29,P1M,,,,,,,17880000,NZD,Amount of rental bonds,0,,
14,ad49def4-40ab-495c-b8ef-6474a581608f,CPACT10,RC,National,2016-06-30,P1M,,,,,,,13557000,NZD,Amount of rental bonds,0,,
15,d9a1ba45-a9b4-480c-8047-29b4f95899b3,CPACT10,RC,National,2016-04-30,P1M,,,,,,,14760000,NZD,Amount of rental bonds,0,,
16,c6bcd407-d52d-47e8-a05c-deaa68f80cb8,CPACT10,RC,National,2016-07-31,P1M,,,,,,,15372000,NZD,Amount of rental bonds,0,,
17,fdab8470-5c10-474a-b02b-ae0053604583,CPACT10,RC,National,2016-05-31,P1M,,,,,,,14454000,NZD,Amount of rental bonds,0,,
18,280f1b11-7bec-4baf-a088-edf9a6c7ba38,CPACT10,RC,National,2016-09-30,P1M,,,,,,,14307000,NZD,Amount of rental bonds,0,,
19,7c4d7576-0171-4450-b067-9b99527dfc4f,CPACT10,RC,National,2016-08-31,P1M,,,,,,,13818000,NZD,Amount of rental bonds,0,,
20,78e6d1d9-4ba8-427c-bb63-c51e00299cc4,CPACT10,RC,National,2016-12-31,P1M,,,,,,,12960000,NZD,Amount of rental bonds,0,,
21,c36052c5-967f-4bdc-91e5-3bb349ad3a1c,CPACT10,RC,National,2016-10-31,P1M,,,,,,,13380000,NZD,Amount of rental bonds,0,,
22,1013e82e-efea-43bd-a4d2-dfbf44537557,CPACT10,RC,National,2017-01-31,P1M,,,,,,,16710000,NZD,Amount of rental bonds,0,,
23,af225694-885f-4337-96fa-f494459d9e7d,CPACT10,RC,National,2016-11-30,P1M,,,,,,,13005000,NZD,Amount of rental bonds,0,,
24,aef29fc8-2589-47e4-ab3c-31d14fcbd0fb,CPACT10,RC,National,2017-02-28,P1M,,,,,,,17181000,NZD,Amount of rental bonds,0,,
