,id,ResourceID,GeoUnit,Geo,Period,Duration,Label1,Label2,Label3,Label4,Label5,Label6,Value,Unit,Measure,Multiplier,NullReason,Status
0,81262730-bb6a-4da7-af4b-0a86944c287d,CPACT11,RC,National,2015-02-28,P1M,,,,,,,364,NZD,Weekly mean rent,0,,
1,565dfe20-2dd1-4fc8-ac50-b22ca9ec98bf,CPACT11,RC,National,2015-03-31,P1M,,,,,,,354,NZD,Weekly mean rent,0,,
2,db0b1aaa-ae38-49a7-b6bc-0e90c7abc8fc,CPACT11,RC,National,2015-04-30,P1M,,,,,,,361,NZD,Weekly mean rent,0,,
3,9c1084a5-a09d-4800-a3b7-93ce114f8648,CPACT11,RC,National,2015-05-31,P1M,,,,,,,362,NZD,Weekly mean rent,0,,
4,574ab91d-4705-464d-85df-91c36b3a38cf,CPACT11,RC,National,2015-06-30,P1M,,,,,,,359,NZD,Weekly mean rent,0,,
5,30963e53-4350-49e2-945f-7d02ced601fd,CPACT11,RC,National,2015-07-31,P1M,,,,,,,358,NZD,Weekly mean rent,0,,
6,f5495c8a-260a-4353-ae30-14c537947673,CPACT11,RC,National,2015-09-30,P1M,,,,,,,362,NZD,Weekly mean rent,0,,
7,c286b8e2-2aba-4919-8a1a-338d5320d7ea,CPACT11,RC,National,2015-10-31,P1M,,,,,,,366,NZD,Weekly mean rent,0,,
8,9a8cc53a-58d5-4ed6-b2c3-7d8cd5ce6215,CPACT11,RC,National,2016-02-29,P1M,,,,,,,377,NZD,Weekly mean rent,0,,
9,b1fdb4de-22e9-4cf6-91ac-9843dd90734b,CPACT11,RC,National,2016-03-31,P1M,,,,,,,375,NZD,Weekly mean rent,0,,
10,56a2bcae-e673-47aa-be36-949be3f37e28,CPACT11,RC,National,2016-06-30,P1M,,,,,,,369,NZD,Weekly mean rent,0,,
11,fec09f28-3a1a-4adc-9a69-f45514a87555,CPACT11,RC,National,2016-07-31,P1M,,,,,,,381,NZD,Weekly mean rent,0,,
12,556cf1bc-0e54-43fd-bdb5-a15eda2d68a0,CPACT11,RC,National,2016-09-30,P1M,,,,,,,380,NZD,Weekly mean rent,0,,
13,244ec985-76ef-4f8c-9670-1fbf1bc80bbc,CPACT11,RC,National,2016-10-31,P1M,,,,,,,386,NZD,Weekly mean rent,0,,
14,41af9895-83f1-4ae2-a8d8-4ec0d3af627f,CPACT11,RC,National,2016-11-30,P1M,,,,,,,386,NZD,Weekly mean rent,0,,
15,77534d66-f2c2-4479-b582-c5418087b7c5,CPACT11,RC,National,2016-12-31,P1M,,,,,,,393,NZD,Weekly mean rent,0,,
16,e50ef68b-a010-461b-958e-4cb6c26d7a15,CPACT11,RC,National,2017-01-31,P1M,,,,,,,398,NZD,Weekly mean rent,0,,
17,80e6c2eb-0c9a-4b55-bc83-e99ec51f702d,CPACT11,RC,National,2017-05-31,P1M,,,,,,,395,NZD,Weekly mean rent,0,,
18,aa67a3c7-f97b-436d-bd5c-bd9d5ae695f2,CPACT11,RC,National,2017-07-31,P1M,,,,,,,398,NZD,Weekly mean rent,0,,
19,d3a60186-20c9-4fcf-b6c5-4c714e91ee19,CPACT11,RC,National,2015-08-31,P1M,,,,,,,363,NZD,Weekly mean rent,0,,
20,40f6211b-7920-4185-ac75-a5cadb6329a5,CPACT11,RC,National,2017-09-30,P1M,,,,,,,401,NZD,Weekly mean rent,0,,
21,ca32a0cd-5adf-4497-bb36-0b5f2c2a5a34,CPACT11,RC,National,2015-11-30,P1M,,,,,,,370,NZD,Weekly mean rent,0,,
22,52495fa2-b994-4a39-8319-d59166c35701,CPACT11,RC,National,2015-12-31,P1M,,,,,,,370,NZD,Weekly mean rent,0,,
23,ef4d3016-bff2-4282-9ab1-57db1ddc7cf9,CPACT11,RC,National,2016-01-31,P1M,,,,,,,381,NZD,Weekly mean rent,0,,
24,de6ae11f-5874-4769-bb94-b62cf4463933,CPACT11,RC,National,2017-11-30,P1M,,,,,,,407,NZD,Weekly mean rent,0,,
25,f3f53b63-83ed-480e-8a1a-9451b86ca37e,CPACT11,RC,National,2016-04-30,P1M,,,,,,,380,NZD,Weekly mean rent,0,,
26,096a1990-0d9f-43e3-aebf-06fbb0402edf,CPACT11,RC,National,2018-01-31,P1M,,,,,,,417,NZD,Weekly mean rent,0,,
27,3518137f-cfec-43fd-bbee-713e0cc65af8,CPACT11,RC,National,2016-05-31,P1M,,,,,,,377,NZD,Weekly mean rent,0,,
28,3ff0f698-fbbf-45f7-b806-cfb252da1539,CPACT11,RC,National,2018-02-28,P1M,,,,,,,418,NZD,Weekly mean rent,0,,
29,46418d3d-771f-4400-b96b-decad195d0fb,CPACT11,RC,National,2016-08-31,P1M,,,,,,,378,NZD,Weekly mean rent,0,,
30,2a1f215c-b12b-44f9-8493-3a5a341bf2c1,CPACT11,RC,National,2018-03-31,P1M,,,,,,,413,NZD,Weekly mean rent,0,,
31,d831bc9a-c2d7-4599-9abc-7852e41d18aa,CPACT11,RC,National,2017-02-28,P1M,,,,,,,398,NZD,Weekly mean rent,0,,
32,1aeb1b05-7a6b-4c4d-8b8a-d36e8afae543,CPACT11,RC,National,2017-03-31,P1M,,,,,,,393,NZD,Weekly mean rent,0,,
33,cc5ddc11-ea32-4da5-8bce-12edf17d4083,CPACT11,RC,National,2018-05-31,P1M,,,,,,,414,NZD,Weekly mean rent,0,,
34,c76a0dbc-ed84-4540-8b22-0b294988e847,CPACT11,RC,National,2018-06-30,P1M,,,,,,,413,NZD,Weekly mean rent,0,,
35,e1c75714-c864-4d3a-b03b-0c278ca6e829,CPACT11,RC,National,2017-04-30,P1M,,,,,,,399,NZD,Weekly mean rent,0,,
36,9b729d57-21bb-4606-a06f-4df8a64b3bc7,CPACT11,RC,National,2017-06-30,P1M,,,,,,,393,NZD,Weekly mean rent,0,,
37,cd2d67c2-54ca-4c1b-9dc1-7fe1bbeaeaf0,CPACT11,RC,National,2017-08-31,P1M,,,,,,,393,NZD,Weekly mean rent,0,,
38,5c1127b1-9531-44cf-b491-a6bd0ef9f5f9,CPACT11,RC,National,2017-10-31,P1M,,,,,,,401,NZD,Weekly mean rent,0,,
39,d1088da7-b732-4cf4-9266-e953e1a4758d,CPACT11,RC,National,2018-11-30,P1M,,,,,,,426,NZD,Weekly mean rent,0,,
40,32e621de-89d1-46ee-b419-ad18737acafa,CPACT11,RC,National,2018-12-31,P1M,,,,,,,431,NZD,Weekly mean rent,0,,
41,e79d9a82-193e-40c7-a4c5-274ff3ecb92e,CPACT11,RC,National,2017-12-31,P1M,,,,,,,413,NZD,Weekly mean rent,0,,
42,f9985e8e-31a7-4caf-b9ab-27264e6948fc,CPACT11,RC,National,2018-04-30,P1M,,,,,,,416,NZD,Weekly mean rent,0,,
43,a13da834-e8c0-4f8b-bdfe-3436e6429c4b,CPACT11,RC,National,2018-07-31,P1M,,,,,,,411,NZD,Weekly mean rent,0,,
44,f90f6d86-1d02-4177-b8d3-599582f805ae,CPACT11,RC,National,2018-08-31,P1M,,,,,,,417,NZD,Weekly mean rent,0,,
45,36f25515-3175-47be-801f-6556d2c878fc,CPACT11,RC,National,2018-09-30,P1M,,,,,,,422,NZD,Weekly mean rent,0,,
46,97d847cc-85a5-4cdf-abed-54bbac72cb9f,CPACT11,RC,National,2018-10-31,P1M,,,,,,,426,NZD,Weekly mean rent,0,,
47,4d978313-5ddb-43c7-85ef-d24d766885ca,CPACT11,RC,National,2019-01-31,P1M,,,,,,,440,NZD,Weekly mean rent,0,,
48,e2e526b3-1dd1-4748-bb25-5b4e804e123d,CPACT11,RC,National,2019-05-31,P1M,,,,,,,434,NZD,Weekly mean rent,0,,
49,91a37da3-12d4-4cf1-b223-781b132da791,CPACT11,RC,National,2019-06-30,P1M,,,,,,,439,NZD,Weekly mean rent,0,,
50,96b55bba-399e-49b2-9081-52c57fd24a10,CPACT11,RC,National,2019-02-28,P1M,,,,,,,446,NZD,Weekly mean rent,0,,
51,8abaa1ec-7216-4eac-93ba-0c4463c2d1d3,CPACT11,RC,National,2019-03-31,P1M,,,,,,,440,NZD,Weekly mean rent,0,,
52,ae4f90e6-a542-4396-8d4c-de95c0127383,CPACT11,RC,National,2019-08-31,P1M,,,,,,,440,NZD,Weekly mean rent,0,,
53,45364f56-9708-4235-93db-240dc187d3c2,CPACT11,RC,National,2019-04-30,P1M,,,,,,,440,NZD,Weekly mean rent,0,,
54,b0459785-35ec-4a5c-8d11-3cd5a3c6ff4a,CPACT11,RC,National,2019-09-30,P1M,,,,,,,440,NZD,Weekly mean rent,0,,
55,25b1dddb-0675-42fe-bde0-dc5c51230513,CPACT11,RC,National,2019-07-31,P1M,,,,,,,435,NZD,Weekly mean rent,0,,
56,3ce9d6e8-23eb-4704-86ae-05d366aee743,CPACT11,RC,National,2020-02-29,P1M,,,,,,,469,NZD,Weekly mean rent,0,,
57,ee06919d-8ddb-4452-93a1-4bcdf2a9c9a1,CPACT11,RC,National,2019-10-31,P1M,,,,,,,446,NZD,Weekly mean rent,0,,
58,4dda17d8-bcec-4e80-ac83-c4bd004f608d,CPACT11,RC,National,2019-11-30,P1M,,,,,,,451,NZD,Weekly mean rent,0,,
59,dc922fed-54d6-46b8-a050-4e2d32d8ce5d,CPACT11,RC,National,2020-06-30,P1M,,,,,,,451,NZD,Weekly mean rent,0,,
60,a2301018-5492-4a7f-a742-87d191837737,CPACT11,RC,National,2019-12-31,P1M,,,,,,,457,NZD,Weekly mean rent,0,,
61,c46af83f-1e34-4357-881f-f0dc879b6287,CPACT11,RC,National,2020-07-31,P1M,,,,,,,453,NZD,Weekly mean rent,0,,
62,adee1ecf-a037-4e59-8d84-e617c33780c3,CPACT11,RC,National,2020-01-31,P1M,,,,,,,466,NZD,Weekly mean rent,0,,
63,3a029da7-a71a-4c32-a33c-137e65e74066,CPACT11,RC,National,2020-03-31,P1M,,,,,,,463,NZD,Weekly mean rent,0,,
64,b19577b0-b58d-49a1-bd76-73bc5a1e4134,CPACT11,RC,National,2020-09-30,P1M,,,,,,,458,NZD,Weekly mean rent,0,,
65,519e2784-ff54-48f4-91b3-1eb14cacd995,CPACT11,RC,National,2020-04-30,P1M,,,,,,,469,NZD,Weekly mean rent,0,,
66,e6d48313-0044-4ec4-87e7-386add4dba49,CPACT11,RC,National,2020-10-31,P1M,,,,,,,470,NZD,Weekly mean rent,0,,
67,988ab80d-aee8-497e-8db8-9de281f81e25,CPACT11,RC,National,2020-12-31,P1M,,,,,,,477,NZD,Weekly mean rent,0,,
68,af36196a-3a18-4154-bd6e-5302003e8a90,CPACT11,RC,National,2020-05-31,P1M,,,,,,,454,NZD,Weekly mean rent,0,,
69,82278b66-6932-4912-9d3e-e7d933497560,CPACT11,RC,National,2021-01-31,P1M,,,,,,,492,NZD,Weekly mean rent,0,,
70,d6266ecf-f005-4ac9-9a40-6dbd5dda5392,CPACT11,RC,National,2020-08-31,P1M,,,,,,,457,NZD,Weekly mean rent,0,,
71,b9f92d62-a3ce-4fe8-9793-1a5efd702906,CPACT11,RC,National,2020-11-30,P1M,,,,,,,474,NZD,Weekly mean rent,0,,
72,c6270697-bfc0-4168-9c1c-ea7a96fb8c07,CPACT11,RC,National,2021-02-28,P1M,,,,,,,490,NZD,Weekly mean rent,0,,
73,de18158f-c0d0-403c-98a9-c0a1bf12788c,CPACT11,RC,National,2021-03-31,P1M,,,,,,,482,NZD,Weekly mean rent,0,,
74,e142b2b4-b46e-4811-bb80-af4a93b108e7,CPACT11,RC,National,2021-04-30,P1M,,,,,,,484,NZD,Weekly mean rent,0,,
75,2e4db87e-5f6e-4918-acef-7d46f3222161,CPACT11,RC,National,2021-07-31,P1M,,,,,,,488,NZD,Weekly mean rent,0,,
76,3544423e-5167-4418-bdaa-554daab53aea,CPACT11,RC,National,2021-05-31,P1M,,,,,,,484,NZD,Weekly mean rent,0,,
77,61d84f86-f97f-49f3-ad56-244ee00b6331,CPACT11,RC,National,2021-06-30,P1M,,,,,,,480,NZD,Weekly mean rent,0,,
78,62ce18fa-4724-44b4-be8a-6ff8820f0fe4,CPACT11,RC,National,2021-08-31,P1M,,,,,,,495,NZD,Weekly mean rent,0,,
