,id,ResourceID,GeoUnit,Geo,Period,Duration,Label1,Label2,Label3,Label4,Label5,Label6,Value,Unit,Measure,Multiplier,NullReason,Status
0,a8685e74-df2e-4720-9e24-21586e850976,CPBEN13,RC,Auckland,2019-06-30,P1M,,,,,,,3601,Number,People receiving jobseeker support benefit - NZ European,0,,
1,52d39519-6570-4ec2-b371-ca138c363878,CPBEN13,RC,Auckland,2019-08-31,P1M,,,,,,,3587,Number,People receiving jobseeker support benefit - NZ European,0,,
2,b102d23a-b7f8-41d0-96a1-2cf7bfd9071b,CPBEN13,RC,Auckland,2020-03-31,P1M,,,,,,,4596,Number,People receiving jobseeker support benefit - NZ European,0,,
3,b25a1e46-ff0a-44ef-b744-61cb936dedb1,CPBEN13,RC,Auckland,2019-07-31,P1M,,,,,,,3595,Number,People receiving jobseeker support benefit - NZ European,0,,
4,411c839a-2671-4a23-9889-f1327f02908e,CPBEN13,RC,Auckland,2020-04-30,P1M,,,,,,,7578,Number,People receiving jobseeker support benefit - NZ European,0,,
5,78d1925d-928f-491c-91fc-08780c4ee997,CPBEN13,RC,Auckland,2019-09-30,P1M,,,,,,,3666,Number,People receiving jobseeker support benefit - NZ European,0,,
6,06938457-b234-4027-b277-16e81a07625d,CPBEN13,RC,Auckland,2019-10-31,P1M,,,,,,,3594,Number,People receiving jobseeker support benefit - NZ European,0,,
7,b592fc34-e70a-420e-9b64-0a575789a0cf,CPBEN13,RC,Auckland,2019-11-30,P1M,,,,,,,3673,Number,People receiving jobseeker support benefit - NZ European,0,,
8,bd379e95-8228-46f4-8546-75ae2def71e2,CPBEN13,RC,Auckland,2019-12-31,P1M,,,,,,,3942,Number,People receiving jobseeker support benefit - NZ European,0,,
9,bd2f4997-7137-42f4-a5d5-d3562270265e,CPBEN13,RC,Auckland,2020-01-31,P1M,,,,,,,4107,Number,People receiving jobseeker support benefit - NZ European,0,,
10,acfb1130-8c38-418d-be84-e086b8320513,CPBEN13,RC,Auckland,2020-02-28,P1M,,,,,,,4053,Number,People receiving jobseeker support benefit - NZ European,0,,
11,b7cfd4f5-e716-43e1-b01b-0599fdbffc1a,CPBEN13,RC,Auckland,2020-05-31,P1M,,,,,,,7932,Number,People receiving jobseeker support benefit - NZ European,0,,
12,c3a1e9bf-a5af-43fc-93c8-5be8cccea1f4,CPBEN13,RC,Auckland,2020-07-31,P1M,,,,,,,7290,Number,People receiving jobseeker support benefit - NZ European,0,,
13,e1c5fc70-a012-4294-9d43-d41903813262,CPBEN13,RC,Auckland,2020-06-30,P1M,,,,,,,7620,Number,People receiving jobseeker support benefit - NZ European,0,,
