,id,ResourceID,GeoUnit,Geo,Period,Duration,Label1,Label2,Label3,Label4,Label5,Label6,Value,Unit,Measure,Multiplier,NullReason,Status
0,c5eafd2c-6a8c-4a8a-9128-61eae0dcece4,CPEMP8,RC,Northland,2019-05-31,P1M,,,,,,,67074,Number,Number of filled jobs,0,,
1,8a96fb1b-fac6-43c2-8b46-9d6b9d125e31,CPEMP8,RC,Northland,2019-08-31,P1M,,,,,,,66500,Number,Number of filled jobs,0,,
2,90b4fdbc-557d-4ea5-af58-9706ea818c1a,CPEMP8,RC,Northland,2019-10-31,P1M,,,,,,,67644,Number,Number of filled jobs,0,,
3,b96f7176-36ae-4757-bb38-621dc7b295a1,CPEMP8,RC,Northland,2019-06-30,P1M,,,,,,,66677,Number,Number of filled jobs,0,,
4,80183f80-371d-4bc2-885d-8d932fbdac41,CPEMP8,RC,Northland,2019-07-31,P1M,,,,,,,66369,Number,Number of filled jobs,0,,
5,7784939f-c593-46c6-bedd-755e14372215,CPEMP8,RC,Northland,2019-09-30,P1M,,,,,,,67262,Number,Number of filled jobs,0,,
6,48c336ef-817a-49f6-806e-aa62a0068990,CPEMP8,RC,Northland,2019-11-30,P1M,,,,,,,69469,Number,Number of filled jobs,0,,
7,e40b2530-8214-4238-97cd-9d184ee68389,CPEMP8,RC,Northland,2020-01-31,P1M,,,,,,,68493,Number,Number of filled jobs,0,,
8,213fb892-b374-47c6-ba25-5537a38f3f47,CPEMP8,RC,Northland,2020-04-30,P1M,,,,,,,67436,Number,Number of filled jobs,0,,
9,3369bd36-a3a3-47c3-96e7-e841c714d9f3,CPEMP8,RC,Northland,2020-09-30,P1M,,,,,,,68025,Number,Number of filled jobs,0,,
10,dd5e26af-7d12-4ad9-a121-d53f526650a4,CPEMP8,RC,Northland,2020-10-31,P1M,,,,,,,69399,Number,Number of filled jobs,0,,
11,85f8bb35-049e-422a-a956-c8cd07b0076b,CPEMP8,RC,Northland,2020-11-30,P1M,,,,,,,70170,Number,Number of filled jobs,0,,
12,6a653ed8-da78-488d-9392-bc285a590d2b,CPEMP8,RC,Northland,2020-12-31,P1M,,,,,,,71137,Number,Number of filled jobs,0,,
13,bada3d4e-97f0-4340-bccc-5285273be3cc,CPEMP8,RC,Northland,2021-02-28,P1M,,,,,,,69800,Number,Number of filled jobs,0,,
14,2f158ce5-e76f-4d1d-ae68-b6f0afeb8b4b,CPEMP8,RC,Northland,2021-03-31,P1M,,,,,,,70424,Number,Number of filled jobs,0,,
15,f9b3c525-a1f1-4125-8bad-93fddafed6a6,CPEMP8,RC,Northland,2021-07-31,P1M,,,,,,,71314,Number,Number of filled jobs,0,,
16,43632e17-e7ea-4d8b-93fb-26ca4817d1ba,CPEMP8,RC,Northland,2021-08-31,P1M,,,,,,,71855,Number,Number of filled jobs,0,,
17,8c2653b1-e38f-4ccf-8331-163b0dd9ff2b,CPEMP8,RC,Northland,2021-09-30,P1M,,,,,,,72015,Number,Number of filled jobs,0,,
18,26a660c6-66b5-4681-9e4c-ed66fbfd120c,CPEMP8,RC,Northland,2021-10-31,P1M,,,,,,,72580,Number,Number of filled jobs,0,,
19,964414b4-8179-436a-a89f-1914848d5e94,CPEMP8,RC,Northland,2021-11-30,P1M,,,,,,,74224,Number,Number of filled jobs,0,,
20,74015642-e543-4221-a4a5-c8dd5d255fcf,CPEMP8,RC,Northland,2022-02-28,P1M,,,,,,,72688,Number,Number of filled jobs,0,,
21,84681f39-02aa-4f14-bb6e-504626272a80,CPEMP8,RC,Northland,2022-04-30,P1M,,,,,,,73390,Number,Number of filled jobs,0,,
22,4abf3a6e-2ecc-4142-a80a-46ece39d572b,CPEMP8,RC,Northland,2022-05-31,P1M,,,,,,,73072,Number,Number of filled jobs,0,,
23,f6c03587-20fe-4c21-9eb4-1647766997a4,CPEMP8,RC,Northland,2022-08-31,P1M,,,,,,,73436,Number,Number of filled jobs,0,,
24,f0a28166-a5c2-43c6-b7bb-5d2f4f0693e7,CPEMP8,RC,Northland,2022-10-31,P1M,,,,,,,74426,Number,Number of filled jobs,0,,
25,dd2aeb06-d90e-4eb8-a29f-41a15095080b,CPEMP8,RC,Northland,2023-01-31,P1M,,,,,,,74178,Number,Number of filled jobs,0,,
26,70a2c9e1-15f8-4814-904d-3db9b2049535,CPEMP8,RC,Auckland,2019-05-31,P1M,,,,,,,721535,Number,Number of filled jobs,0,,
27,72854e51-7bfb-44ec-b9b0-e732ed2f53ec,CPEMP8,RC,Auckland,2019-06-30,P1M,,,,,,,723158,Number,Number of filled jobs,0,,
28,0eac7a3f-af55-4e40-8d69-d7fd3494a5f7,CPEMP8,RC,Auckland,2019-07-31,P1M,,,,,,,729740,Number,Number of filled jobs,0,,
29,7034d371-3e0a-476b-9bb7-1d3a6d8c983b,CPEMP8,RC,Auckland,2019-09-30,P1M,,,,,,,735222,Number,Number of filled jobs,0,,
30,b7e41714-1be7-44ad-aa6f-16d21efa151a,CPEMP8,RC,Auckland,2019-11-30,P1M,,,,,,,751806,Number,Number of filled jobs,0,,
31,3968bdcd-b58d-45a6-b1ba-9bbaf2a2c606,CPEMP8,RC,Auckland,2020-01-31,P1M,,,,,,,735174,Number,Number of filled jobs,0,,
32,2134bdf6-9a7c-4de0-80ff-22297fe281a6,CPEMP8,RC,Auckland,2020-08-31,P1M,,,,,,,737398,Number,Number of filled jobs,0,,
33,9475d1ac-1583-4139-afb7-3c4fb7a07380,CPEMP8,RC,Auckland,2020-12-31,P1M,,,,,,,753888,Number,Number of filled jobs,0,,
34,165b0c5a-c602-4928-bd53-37c23e6d4882,CPEMP8,RC,Auckland,2021-01-31,P1M,,,,,,,732837,Number,Number of filled jobs,0,,
35,f370b9ff-d1d4-4b6d-b821-76b180f5385d,CPEMP8,RC,Auckland,2021-04-30,P1M,,,,,,,749822,Number,Number of filled jobs,0,,
36,bb812a3a-80ee-4d3f-b908-6d7dca565d4b,CPEMP8,RC,Auckland,2021-07-31,P1M,,,,,,,757452,Number,Number of filled jobs,0,,
37,395ad64f-fa1c-4137-b912-8ea2c5cd345e,CPEMP8,RC,Auckland,2021-10-31,P1M,,,,,,,766755,Number,Number of filled jobs,0,,
38,32396f20-594b-4450-8f5d-3ef677a54f52,CPEMP8,RC,Auckland,2022-01-31,P1M,,,,,,,764560,Number,Number of filled jobs,0,,
39,0e81df77-8e90-48ef-9a6f-17ba11a62f66,CPEMP8,RC,Auckland,2022-03-31,P1M,,,,,,,768407,Number,Number of filled jobs,0,,
40,409cb70d-0eb5-49b1-bb49-e6a9ccbaa554,CPEMP8,RC,Auckland,2022-04-30,P1M,,,,,,,771331,Number,Number of filled jobs,0,,
41,b635ed56-218a-482b-b00e-c91ec37a7ef0,CPEMP8,RC,Auckland,2022-08-31,P1M,,,,,,,776437,Number,Number of filled jobs,0,,
42,e3d348b3-e32b-4691-9ba6-ee9344dd725a,CPEMP8,RC,Waikato,2019-09-30,P1M,,,,,,,203865,Number,Number of filled jobs,0,,
43,39b0ddc4-6ca8-4d28-959d-ee17a7c745ba,CPEMP8,RC,Waikato,2019-12-31,P1M,,,,,,,211201,Number,Number of filled jobs,0,,
44,5170fd28-be37-4ac7-8e2c-1c06034060e8,CPEMP8,RC,Northland,2019-12-31,P1M,,,,,,,70343,Number,Number of filled jobs,0,,
45,d618ea28-44cd-4405-85f6-6929dd1f7bdc,CPEMP8,RC,Northland,2020-02-29,P1M,,,,,,,68989,Number,Number of filled jobs,0,,
46,ff309a77-f13f-4762-9b20-cccd1104162f,CPEMP8,RC,Northland,2020-03-31,P1M,,,,,,,68996,Number,Number of filled jobs,0,,
