res_id,date,unemployment_rate
CPEMP6,2020-04-30,5.1
CPEMP6,2020-01-31,4.0
CPEMP6,2020-05-31,5.2
CPEMP6,2020-06-30,4.9
CPEMP6,2020-02-29,4.0
CPEMP6,2020-03-31,4.1
CPEMP6,2020-09-30,5.2
CPEMP6,2020-07-31,5.3
CPEMP6,2020-08-31,5.3
CPEMP6,2020-10-31,5.4
CPEMP6,2020-11-30,5.3
CPEMP6,2020-12-31,5.3
CPEMP6,2021-01-31,4.9
CPEMP6,2021-02-28,4.8
CPEMP6,2021-03-31,4.8
CPEMP6,2021-04-30,4.6
CPEMP6,2021-05-31,4.7
CPEMP6,2021-06-30,4.6
CPEMP6,2021-07-31,3.9
CPEMP6,2021-10-31,3.5
CPEMP6,2021-12-31,3.4
CPEMP6,2021-08-31,3.8
CPEMP6,2021-09-30,3.8
CPEMP6,2021-11-30,3.5
CPEMP6,2022-02-28,3.0
CPEMP6,2022-03-31,3.1
CPEMP6,2022-01-31,3.1
CPEMP6,2022-04-30,3.2
CPEMP6,2022-05-31,3.3
CPEMP6,2022-06-30,3.3
CPEMP6,2022-07-31,3.2
CPEMP6,2022-09-30,3.1
CPEMP6,2022-10-31,3.2
CPEMP6,2022-08-31,3.1
CPEMP6,2022-11-30,3.2
CPEMP6,2022-12-31,3.2
CPEMP6,2023-02-28,3.3
CPEMP6,2023-01-31,3.3
