res_id,date,total,primary,services,goods_producing
CPEMP13,2019-05-05,997.14,908.5,961.54,1146.44
CPEMP13,2019-05-12,1000.0,915.4,963.45,1153.85
CPEMP13,2019-05-19,1000.0,926.42,962.5,1153.85
CPEMP13,2019-05-26,1000.0,940.71,963.52,1154.0
CPEMP13,2019-06-02,995.19,908.75,961.54,1134.0
CPEMP13,2019-06-09,1011.4,933.33,982.62,1153.85
CPEMP13,2019-06-16,1006.0,937.5,975.0,1154.0
CPEMP13,2019-06-23,1003.1,953.1,972.22,1155.0
CPEMP13,2019-06-30,1008.0,957.69,979.2,1155.24
CPEMP13,2019-07-07,1000.0,926.76,972.23,1143.75
CPEMP13,2019-07-14,1009.23,943.91,982.05,1145.0
CPEMP13,2019-07-21,1007.51,934.37,982.16,1140.0
CPEMP13,2019-07-28,1009.73,949.15,983.33,1148.63
CPEMP13,2019-08-04,1000.0,926.85,972.32,1140.56
CPEMP13,2019-08-11,1009.05,956.42,981.5,1150.0
CPEMP13,2019-08-18,1011.0,961.53,983.23,1153.85
CPEMP13,2019-08-25,1004.8,962.5,975.0,1153.85
CPEMP13,2019-09-01,1006.36,961.53,978.38,1153.12
CPEMP13,2019-09-08,1018.9,952.37,993.36,1154.61
CPEMP13,2019-09-15,1017.54,956.16,990.0,1160.0
CPEMP13,2019-09-22,1015.05,961.0,987.24,1164.19
CPEMP13,2019-09-29,1012.7,951.26,985.58,1159.99
CPEMP13,2019-10-06,1008.0,922.97,980.77,1156.25
CPEMP13,2019-10-13,1019.23,933.33,994.09,1161.0
CPEMP13,2019-10-20,1015.34,932.0,990.13,1158.43
CPEMP13,2019-10-27,1019.23,959.61,996.1,1153.85
CPEMP13,2019-11-03,1026.38,945.0,1000.0,1164.56
CPEMP13,2019-11-10,1025.0,949.65,1000.0,1169.91
CPEMP13,2019-11-17,1023.0,937.57,1000.0,1169.07
CPEMP13,2019-11-24,1020.0,939.6,998.12,1170.32
CPEMP13,2019-12-01,1024.42,939.0,1000.0,1177.68
CPEMP13,2019-12-08,1032.76,925.95,1004.13,1189.59
CPEMP13,2019-12-15,1040.12,946.69,1008.58,1222.0
CPEMP13,2019-12-22,1035.45,932.03,1007.41,1194.19
CPEMP13,2019-12-29,1047.37,935.2,1036.45,1149.15
CPEMP13,2020-01-05,1040.0,921.04,1034.9,1133.85
CPEMP13,2020-01-12,1038.26,939.45,1019.23,1165.74
CPEMP13,2020-01-19,1031.48,939.56,1006.5,1173.0
CPEMP13,2020-01-26,1034.25,939.6,1009.61,1173.21
CPEMP13,2020-02-02,1032.28,932.3,1007.42,1176.0
CPEMP13,2020-02-09,1040.35,942.74,1019.24,1180.0
CPEMP13,2020-02-16,1036.58,946.0,1005.75,1192.31
CPEMP13,2020-02-23,1035.0,941.27,1005.5,1192.31
CPEMP13,2020-03-01,1028.37,955.0,1000.0,1190.25
CPEMP13,2020-03-08,1034.95,954.87,1007.75,1182.86
CPEMP13,2020-03-15,1036.19,953.85,1008.27,1187.79
CPEMP13,2020-03-22,1028.13,947.91,1004.71,1175.0
CPEMP13,2020-03-29,980.18,929.06,977.5,1057.32
CPEMP13,2020-04-05,958.7,933.25,961.54,992.0
CPEMP13,2020-04-12,961.54,964.38,963.6,997.26
CPEMP13,2020-04-19,952.78,951.77,958.45,991.56
CPEMP13,2020-04-26,960.0,961.54,960.0,997.82
CPEMP13,2020-05-03,984.05,954.71,961.54,1092.51
CPEMP13,2020-05-10,991.51,931.54,961.5,1125.0
CPEMP13,2020-05-17,998.52,933.33,966.23,1137.95
CPEMP13,2020-05-24,1000.0,951.28,974.7,1146.08
CPEMP13,2020-05-31,1003.22,933.33,980.77,1137.33
CPEMP13,2020-06-07,1019.64,941.24,1000.0,1153.86
CPEMP13,2020-06-14,1020.0,954.5,1000.0,1161.0
CPEMP13,2020-06-21,1019.5,939.93,1000.0,1153.85
CPEMP13,2020-06-28,1025.79,944.93,1005.06,1161.09
CPEMP13,2020-07-05,1021.15,937.25,1000.0,1157.5
CPEMP13,2020-07-12,1030.81,949.16,1010.34,1160.31
CPEMP13,2020-07-19,1034.0,942.31,1014.24,1162.0
CPEMP13,2020-07-26,1030.91,961.54,1009.0,1164.18
